CODE,BUDGET
401AN00,339264
401AS00,2591182
401BE00,282073
401BS00,369233
401CB00,962977
401CI01,343976
401CI02,0
401CL00,568025
401CS00,908271
401CS01,0
401CW00,339005
401DC01,0
401DM00,1011057
401DO00,0
401DR00,9280748
401DS00,324854
401DW00,182625
401DW02,0
401EA00,10172878
401EA01,0
401EA02,0
401EA03,0
401EA07,0
401EA08,0
401EA09,0
401EA10,0
401EA11,0
401EA12,0
401EA14,0
401EA15,0
401EA16,0
401EA17,0
401EA18,0
401EA28,0
401EP00,770055
401ET00,89170
401ET01,0
401FB00,981777
401FE00,1516706
401FE01,0
401FE02,0
401FRP1,0
401FRP2,0
401FRP3,0
401FRP4,0
401FRP5,0
401FRP6,0
401FRP7,0
401FRP8,0
401FRP9,0
401FRPA,0
401FRPC,0
401FW01,10395838
401FW02,0
401GL01,0
401HD10,0
401HD11,0
401JT00,226745
401KE00,303075
401LA00,269401
401LA02,0
401LA07,0
401LA08,0
401LA09,0
401LB00,0
401LG01,0
401LM00,0
401LV00,0
401MM00,0
401MM04,0
401MM05,0
401MT00,2329347
401MV00,707928
401NW00,1624846
401NW01,0
401PH00,0
401PI00,707765
401PI01,0
401PI02,0
401PP00,0
401PP01,0
401PP02,0
401PR12,0
401PRB2,1102181
401PRB9,0
401PRS3,0
401PRS4,0
401PRS5,0
401PRS8,0
401RD00,2296885
401RD02,0
401RD03,0
401RD04,0
401RD05,0
401RD06,0
401RE00,4368772
401RF00,11505090
401RF01,0
401RW00,242528
401RW01,0
401SC00,1085050
401SI01,0
401SM00,0
401TB00,197023
401TE00,539428
401TE01,0
401TE02,0
401TE03,0
401TE04,0
401TE05,0
401TE06,0
401TE08,0
401TF00,216975
401TI00,640088
401TM00,3207545
401TR00,5991625
401TS00,518086
401WA00,1679785
401YY02,0
401YY05,0
4G4FS00,0
4W1PI00,2954527
4W1PT00,373722
